States,Year,BirthRate
Alabama,2011,12.45655261
Alabama,2012,12.28625557
Alabama,2013,12.01112993
Alabama,2014,12.17819808
Alabama,2015,12.30143919
Alabama,2016,12.28086616
Alabama,2017,12.03594158
Alabama,2018,12.00968267
Alabama,2019,11.68436281
Alabama,2020,11.54463957
Alaska,2011,16.30821865
Alaska,2012,15.31284601
Alaska,2013,15.457262010000001
Alaska,2014,15.52450293
Alaska,2015,15.38049685
Alaska,2016,15.23830102
Alaska,2017,14.5016238
Alaska,2018,14.04162271
Alaska,2019,13.41289474
Alaska,2020,13.28954007
Arizona,2011,13.36831264
Arizona,2012,13.13623582
Arizona,2013,13.05386674
Arizona,2014,12.88626805
Arizona,2015,12.79036227
Arizona,2016,12.30056635
Arizona,2017,11.88549442
Arizona,2018,11.41742134
Arizona,2019,11.24703939
Arizona,2020,11.07179355
Arkansas,2011,13.1092492
Arkansas,2012,13.10131095
Arkansas,2013,12.84757248
Arkansas,2014,12.8984969
Arkansas,2015,13.04330796
Arkansas,2016,12.93165741
Arkansas,2017,12.57374072
Arkansas,2018,12.49564496
Arkansas,2019,12.13429942
Arkansas,2020,12.00758753
California,2011,13.60128463
California,2012,13.16280304
California,2013,13.11399009
California,2014,12.98615102
California,2015,12.91422196
California,2016,12.53361125
California,2017,12.29997779
California,2018,11.72987739
California,2019,11.47226831
California,2020,11.3737983
Colorado,2011,12.96826698
Colorado,2012,12.55152411
Colorado,2013,12.37181103
Colorado,2014,12.37003821
Colorado,2015,12.27837788
Colorado,2016,12.10964877
Colorado,2017,11.70404968
Colorado,2018,11.27625109
Colorado,2019,11.02426307
Colorado,2020,10.94308807
Connecticut,2011,10.50168078
Connecticut,2012,10.2602465
Connecticut,2013,10.04978026
Connecticut,2014,10.05688808
Connecticut,2015,10.112109
Connecticut,2016,10.02093775
Connecticut,2017,9.923196622
Connecticut,2018,9.778618817
Connecticut,2019,9.689965091
Connecticut,2020,9.618942955
Delaware,2011,12.50527739
Delaware,2012,12.23734414
Delaware,2013,11.84292067
Delaware,2014,11.82860371
Delaware,2015,11.75663771
Delaware,2016,11.85589841
Delaware,2017,11.35261181
Delaware,2018,11.17964474
Delaware,2019,10.8568762
Delaware,2020,10.71161007
District of Columbia,2011,15.00687026
