"Location","Education","TimeFrame","EducationNumber","Population"
"Alabama","Not a high school graduate",2019-01-01,"294000","2516954"
"Alabama","High school diploma or GED",2019-01-01,"1277000","2516954"
"Alabama","Associate Degree",2019-01-01,"247000","2516954"
"Alabama","Bachelor's Degree",2019-01-01,"436000","2516954"
"Alabama","Graduate degree",2019-01-01,"251000","2516954"
"Alabama","Not a high school graduate",2018-01-01,"304000","2518819"
"Alabama","High school diploma or GED",2018-01-01,"1296000","2518819"
"Alabama","Associate Degree",2018-01-01,"243000","2518819"
"Alabama","Bachelor's Degree",2018-01-01,"430000","2518819"
"Alabama","Graduate degree",2018-01-01,"235000","2518819"
"Alabama","Not a high school graduate",2017-01-01,"295000","2520599"
"Alabama","High school diploma or GED",2017-01-01,"1310000","2520599"
"Alabama","Associate Degree",2017-01-01,"234000","2520599"
"Alabama","Bachelor's Degree",2017-01-01,"432000","2520599"
"Alabama","Graduate degree",2017-01-01,"236000","2520599"
"Alabama","Not a high school graduate",2016-01-01,"337000","2520260"
"Alabama","High school diploma or GED",2016-01-01,"1302000","2520260"
"Alabama","Associate Degree",2016-01-01,"229000","2520260"
"Alabama","Bachelor's Degree",2016-01-01,"414000","2520260"
"Alabama","Graduate degree",2016-01-01,"235000","2520260"
"Alabama","Not a high school graduate",2012-01-01,"343000","2516040"
"Alabama","High school diploma or GED",2012-01-01,"1337000","2516040"
"Alabama","Associate Degree",2012-01-01,"211000","2516040"
"Alabama","Bachelor's Degree",2012-01-01,"402000","2516040"
"Alabama","Graduate degree",2012-01-01,"216000","2516040"
"Alabama","Not a high school graduate",2011-01-01,"373000","2521861"
"Alabama","High school diploma or GED",2011-01-01,"1343000","2521861"
"Alabama","Associate Degree",2011-01-01,"210000","2521861"
"Alabama","Bachelor's Degree",2011-01-01,"379000","2521861"
"Alabama","Graduate degree",2011-01-01,"214000","2521861"
"Alabama","Not a high school graduate",2010-01-01,"383000","2514456"
"Alabama","High school diploma or GED",2010-01-01,"1333000","2514456"
"Alabama","Associate Degree",2010-01-01,"205000","2514456"
"Alabama","Bachelor's Degree",2010-01-01,"380000","2514456"
"Alabama","Graduate degree",2010-01-01,"203000","2514456"
"Alabama","Not a high school graduate",2015-01-01,"346000","2517433"
"Alabama","High school diploma or GED",2015-01-01,"1314000","2517433"
"Alabama","Associate Degree",2015-01-01,"228000","2517433"
"Alabama","Bachelor's Degree",2015-01-01,"414000","2517433"
"Alabama","Graduate degree",2015-01-01,"217000","2517433"
"Alabama","Not a high school graduate",2014-01-01,"330000","2514631"
"Alabama","High school diploma or GED",2014-01-01,"1336000","2514631"
"Alabama","Associate Degree",2014-01-01,"222000","2514631"
"Alabama","Bachelor's Degree",2014-01-01,"399000","2514631"
"Alabama","Graduate degree",2014-01-01,"223000","2514631"
"Alabama","Not a high school graduate",2013-01-01,"336000","2514667"
"Alabama","High school diploma or GED",2013-01-01,"1326000","2514667"
"Alabama","Associate Degree",2013-01-01,"227000","2514667"
"Alabama","Bachelor's Degree",2013-01-01,"398000","2514667"
"Alabama","Graduate degree",2013-01-01,"218000","2514667"
"Alaska","Not a high school graduate",2019-01-01,"24000","393213"
"Alaska","High school diploma or GED",2019-01-01,"214000","393213"
"Alaska","Associate Degree",2019-01-01,"37000","393213"
"Alaska","Bachelor's Degree",2019-01-01,"75000","393213"
"Alaska","Graduate degree",2019-01-01,"44000","393213"
"Alaska","Not a high school graduate",2018-01-01,"23000","396455"
"Alaska","High school diploma or GED",2018-01-01,"222000","396455"
"Alaska","Associate Degree",2018-01-01,"34000","396455"
"Alaska","Bachelor's Degree",2018-01-01,"74000","396455"
"Alaska","Graduate degree",2018-01-01,"44000","396455"
"Alaska","Not a high school graduate",2017-01-01,"30000","400613"
"Alaska","High school diploma or GED",2017-01-01,"218000","400613"
"Alaska","Associate Degree",2017-01-01,"37000","400613"
"Alaska","Bachelor's Degree",2017-01-01,"72000","400613"
"Alaska","Graduate degree",2017-01-01,"41000","400613"
"Alaska","Not a high school graduate",2016-01-01,"25000","402486"
"Alaska","High school diploma or GED",2016-01-01,"224000","402486"
"Alaska","Associate Degree",2016-01-01,"37000","402486"
"Alaska","Bachelor's Degree",2016-01-01,"78000","402486"
"Alaska","Graduate degree",2016-01-01,"40000","402486"
"Alaska","Not a high school graduate",2012-01-01,"27000","402080"
"Alaska","High school diploma or GED",2012-01-01,"226000","402080"
"Alaska","Associate Degree",2012-01-01,"36000","402080"
"Alaska","Bachelor's Degree",2012-01-01,"71000","402080"
"Alaska","Graduate degree",2012-01-01,"43000","402080"
"Alaska","Not a high school graduate",2011-01-01,"27000","399336"
"Alaska","High school diploma or GED",2011-01-01,"235000","399336"
"Alaska","Associate Degree",2011-01-01,"31000","399336"
"Alaska","Bachelor's Degree",2011-01-01,"69000","399336"
"Alaska","Graduate degree",2011-01-01,"37000","399336"
"Alaska","Not a high school graduate",2010-01-01,"31000","395022"
"Alaska","High school diploma or GED",2010-01-01,"218000","395022"
"Alaska","Associate Degree",2010-01-01,"35000","395022"
"Alaska","Bachelor's Degree",2010-01-01,"76000","395022"
"Alaska","Graduate degree",2010-01-01,"36000","395022"
"Alaska","Not a high school graduate",2015-01-01,"26000","400988"
"Alaska","High school diploma or GED",2015-01-01,"222000","400988"
"Alaska","Associate Degree",2015-01-01,"33000","400988"
"Alaska","Bachelor's Degree",2015-01-01,"76000","400988"
"Alaska","Graduate degree",2015-01-01,"42000","400988"
"Alaska","Not a high school graduate",2014-01-01,"23000","401394"
"Alaska","High school diploma or GED",2014-01-01,"228000","401394"
"Alaska","Associate Degree",2014-01-01,"35000","401394"
"Alaska","Bachelor's Degree",2014-01-01,"73000","401394"
"Alaska","Graduate degree",2014-01-01,"37000","401394"
"Alaska","Not a high school graduate",2013-01-01,"28000","403200"
"Alaska","High school diploma or GED",2013-01-01,"225000","403200"
"Alaska","Associate Degree",2013-01-01,"35000","403200"
"Alaska","Bachelor's Degree",2013-01-01,"75000","403200"
"Alaska","Graduate degree",2013-01-01,"35000","403200"
"Arizona","Not a high school graduate",2019-01-01,"460000","3638178"
"Arizona","High school diploma or GED",2019-01-01,"1765000","3638178"
"Arizona","Associate Degree",2019-01-01,"325000","3638178"
"Arizona","Bachelor's Degree",2019-01-01,"703000","3638178"
"Arizona","Graduate degree",2019-01-01,"383000","3638178"
"Arizona","Not a high school graduate",2018-01-01,"449000","3578727"
"Arizona","High school diploma or GED",2018-01-01,"1734000","3578727"
"Arizona","Associate Degree",2018-01-01,"333000","3578727"
"Arizona","Bachelor's Degree",2018-01-01,"691000","3578727"
"Arizona","Graduate degree",2018-01-01,"375000","3578727"
"Arizona","Not a high school graduate",2017-01-01,"459000","3525234"
"Arizona","High school diploma or GED",2017-01-01,"1697000","3525234"
"Arizona","Associate Degree",2017-01-01,"324000","3525234"
"Arizona","Bachelor's Degree",2017-01-01,"669000","3525234"
