"Location","Age group","TimeFrame","EnteringNumber","ExitingNumber","AdoptionNumber","ChildPopulation"
"Alabama","<1",2021-01-01,796,234,22,56687
"Alabama","1 to 5",2021-01-01,1100,1343,385,294469
"Alabama","6 to 10",2021-01-01,729,822,202,303463
"Alabama","11 to 15",2021-01-01,754,742,139,326442
"Alabama","16 to 20",2021-01-01,252,595,46,195235
"Alabama","<1",2019-01-01,739,272,11,56807
"Alabama","1 to 5",2019-01-01,1216,1443,374,297084
"Alabama","6 to 10",2019-01-01,864,917,187,299502
"Alabama","11 to 15",2019-01-01,856,713,122,311571
"Alabama","16 to 20",2019-01-01,310,607,44,187376
"Alabama","<1",2017-01-01,787,227,15,58124
"Alabama","1 to 5",2017-01-01,1213,1176,281,295637
"Alabama","11 to 15",2017-01-01,848,578,65,307347
"Alabama","16 to 20",2017-01-01,285,574,15,193812
"Alabama","6 to 10",2017-01-01,962,817,128,304799
"Alabama","<1",2016-01-01,653,211,10,59132
"Alabama","1 to 5",2016-01-01,1155,1172,253,294976
"Alabama","6 to 10",2016-01-01,899,818,140,306133
"Alabama","11 to 15",2016-01-01,747,544,73,310079
"Alabama","16 to 20",2016-01-01,318,572,26,193112
"Alabama","<1",2014-01-01,541,179,13,58335
"Alabama","1 to 5",2014-01-01,1010,1068,267,295305
"Alabama","6 to 10",2014-01-01,748,718,147,307500
"Alabama","11 to 15",2014-01-01,665,542,97,317145
"Alabama","16 to 20",2014-01-01,279,528,24,190066
"Alabama","<1",2012-01-01,520,178,12,58528
"Alabama","1 to 5",2012-01-01,832,1112,286,302915
"Alabama","6 to 10",2012-01-01,558,734,150,304886
"Alabama","11 to 15",2012-01-01,613,642,103,322347
"Alabama","16 to 20",2012-01-01,240,680,36,193559
"Alabama","<1",2011-01-01,555,195,8,59180
"Alabama","1 to 5",2011-01-01,997,1054,228,304759
"Alabama","11 to 15",2011-01-01,765,522,58,320502
"Alabama","16 to 20",2011-01-01,307,717,16,197449
"Alabama","6 to 10",2011-01-01,633,655,130,308099
"Alabama","16 to 20",2020-01-01,269,603,44,196000
"Alabama","11 to 15",2020-01-01,741,676,142,326485
"Alabama","6 to 10",2020-01-01,710,787,201,302898
"Alabama","1 to 5",2020-01-01,1059,1301,408,296820
"Alabama","<1",2020-01-01,725,223,21,56285
"Alabama","<1",2015-01-01,582,223,11,59123
"Alabama","1 to 5",2015-01-01,1147,1137,247,294568
"Alabama","6 to 10",2015-01-01,854,811,143,306801
"Alabama","11 to 15",2015-01-01,744,519,80,314059
"Alabama","16 to 20",2015-01-01,278,546,31,191183
"Alabama","<1",2010-01-01,565,169,8,59248
"Alabama","1 to 5",2010-01-01,951,997,273,305643
"Alabama","6 to 10",2010-01-01,604,578,190,311942
"Alabama","11 to 15",2010-01-01,659,513,112,319632
"Alabama","16 to 20",2010-01-01,284,513,23,203388
"Alabama","16 to 20",2009-01-01,301,663,27,206756
"Alabama","11 to 15",2009-01-01,734,468,101,320460
"Alabama","6 to 10",2009-01-01,580,566,183,311445
"Alabama","1 to 5",2009-01-01,956,966,310,304652
"Alabama","<1",2009-01-01,552,158,8,61793
"Alabama","16 to 20",2018-01-01,287,560,39,191271
"Alabama","11 to 15",2018-01-01,786,639,125,309230
