"","State","Year","Mother's_age","Metro/Non-Metro","Births"
"1","Alabama",2007,"Under 15 years","Metro",92
"2","Alabama",2007,"Under 15 years","Nonmetro",44
"3","Alabama",2007,"15-19 years","Metro",6174
"4","Alabama",2007,"15-19 years","Nonmetro",2522
"5","Alabama",2007,"20-24 years","Metro",14528
"6","Alabama",2007,"20-24 years","Nonmetro",5700
"7","Alabama",2007,"25-29 years","Metro",14146
"8","Alabama",2007,"25-29 years","Nonmetro",4288
"9","Alabama",2007,"30-34 years","Metro",9137
"10","Alabama",2007,"30-34 years","Nonmetro",2219
"11","Alabama",2007,"35-39 years","Metro",4123
"12","Alabama",2007,"35-39 years","Nonmetro",875
"13","Alabama",2007,"40-44 years","Metro",767
"14","Alabama",2007,"40-44 years","Nonmetro",152
"15","Alabama",2007,"45-49 years","Metro",27
"16","Alabama",2008,"Under 15 years","Metro",109
"17","Alabama",2008,"Under 15 years","Nonmetro",51
"18","Alabama",2008,"15-19 years","Metro",6152
"19","Alabama",2008,"15-19 years","Nonmetro",2407
"20","Alabama",2008,"20-24 years","Metro",14590
"21","Alabama",2008,"20-24 years","Nonmetro",5390
"22","Alabama",2008,"25-29 years","Metro",14288
"23","Alabama",2008,"25-29 years","Nonmetro",4315
"24","Alabama",2008,"30-34 years","Metro",9186
"25","Alabama",2008,"30-34 years","Nonmetro",2236
"26","Alabama",2008,"35-39 years","Metro",3987
"27","Alabama",2008,"35-39 years","Nonmetro",919
"28","Alabama",2008,"40-44 years","Metro",716
"29","Alabama",2008,"40-44 years","Nonmetro",162
"30","Alabama",2008,"45-49 years","Metro",32
"31","Alabama",2009,"Under 15 years","Metro",112
"32","Alabama",2009,"Under 15 years","Nonmetro",48
"33","Alabama",2009,"15-19 years","Metro",5894
"34","Alabama",2009,"15-19 years","Nonmetro",2311
"35","Alabama",2009,"20-24 years","Metro",13855
"36","Alabama",2009,"20-24 years","Nonmetro",5063
"37","Alabama",2009,"25-29 years","Metro",14028
"38","Alabama",2009,"25-29 years","Nonmetro",4058
"39","Alabama",2009,"30-34 years","Metro",9398
