"","State","Marital.Status","Year","Births"
"1","Alabama","Married",2007,39964
"2","Alabama","Married",2008,38800
"3","Alabama","Married",2009,36883
"4","Alabama","Married",2010,34880
"5","Alabama","Married",2011,34342
"6","Alabama","Married",2012,33578
"7","Alabama","Married",2013,33617
"8","Alabama","Married",2014,33701
"9","Alabama","Married",2015,33495
"10","Alabama","Married",2016,32701
"11","Alabama","Married",2017,31180
"12","Alabama","Married",2018,30745
"13","Alabama","Married",2019,30268
"14","Alabama","Married",2020,29746
"15","Alabama","Married",2021,31079
"16","Alabama","Married",2022,31791
"17","Alabama","Unmarried",2007,24840
"18","Alabama","Unmarried",2008,25746
"19","Alabama","Unmarried",2009,25592
"20","Alabama","Unmarried",2010,25170
"21","Alabama","Unmarried",2011,25012
"22","Alabama","Unmarried",2012,24870
"23","Alabama","Unmarried",2013,24550
"24","Alabama","Unmarried",2014,25721
"25","Alabama","Unmarried",2015,26162
"26","Alabama","Unmarried",2016,26450
"27","Alabama","Unmarried",2017,27755
"28","Alabama","Unmarried",2018,27014
"29","Alabama","Unmarried",2019,28338
"30","Alabama","Unmarried",2020,27895
"31","Alabama","Unmarried",2021,26970
"32","Alabama","Unmarried",2022,26349
"33","Alaska","Married",2007,6935
"34","Alaska","Married",2008,7142
"35","Alaska","Married",2009,7021
"36","Alaska","Married",2010,7160
"37","Alaska","Married",2011,7239
"38","Alaska","Married",2012,7003
"39","Alaska","Married",2013,7495
"40","Alaska","Married",2014,7331
"41","Alaska","Married",2015,7211
"42","Alaska","Married",2016,7157
"43","Alaska","Married",2017,6746
"44","Alaska","Married",2018,6510
"45","Alaska","Married",2019,6251
"46","Alaska","Married",2020,6006
"47","Alaska","Married",2021,5946
"48","Alaska","Married",2022,5917
"49","Alaska","Unmarried",2007,4117
"50","Alaska","Unmarried",2008,4300
"51","Alaska","Unmarried",2009,4303
"52","Alaska","Unmarried",2010,4311
"53","Alaska","Unmarried",2011,4217
"54","Alaska","Unmarried",2012,4184
"55","Alaska","Unmarried",2013,3951
"56","Alaska","Unmarried",2014,4061
"57","Alaska","Unmarried",2015,4071
"58","Alaska","Unmarried",2016,4052
"59","Alaska","Unmarried",2017,3689
"60","Alaska","Unmarried",2018,3559
"61","Alaska","Unmarried",2019,3564
"62","Alaska","Unmarried",2020,3454
"63","Alaska","Unmarried",2021,3419
"64","Alaska","Unmarried",2022,3433
"65","Alaska","Not Reported",2017,10
"66","Alaska","Not Reported",2018,17
"67","Arizona","Married",2007,56396
"68","Arizona","Married",2008,54403
"69","Arizona","Married",2009,50637
"70","Arizona","Married",2010,48183
"71","Arizona","Married",2011,47316
"72","Arizona","Married",2012,47122
"73","Arizona","Married",2013,46725
"74","Arizona","Married",2014,47663
"75","Arizona","Married",2015,46489
"76","Arizona","Married",2016,46467
"77","Arizona","Married",2017,45160
"78","Arizona","Married",2018,44427
"79","Arizona","Married",2019,43435
"80","Arizona","Married",2020,42100
"81","Arizona","Married",2021,42479
"82","Arizona","Married",2022,43073
"83","Arizona","Unmarried",2007,46585
"84","Arizona","Unmarried",2008,45039
"85","Arizona","Unmarried",2009,42161
"86","Arizona","Unmarried",2010,39294
"87","Arizona","Unmarried",2011,38227
"88","Arizona","Unmarried",2012,39319
"89","Arizona","Unmarried",2013,38875
"90","Arizona","Unmarried",2014,39224
"91","Arizona","Unmarried",2015,38862
"92","Arizona","Unmarried",2016,38053
"93","Arizona","Unmarried",2017,36604
"94","Arizona","Unmarried",2018,36180
"95","Arizona","Unmarried",2019,35833
"96","Arizona","Unmarried",2020,34737
"97","Arizona","Unmarried",2021,35296
"98","Arizona","Unmarried",2022,35302
"99","Arizona","Not Reported",2017,108
"100","Arizona","Not Reported",2018,116
