"","State","Year","num_adoptions","Total.Children.Under.18"
"1","Alabama",2017,504,1096577
"2","Alabama",2018,714,1092599
"3","Alabama",2019,738,1088727
"4","Alabama",2020,816,1124750
"5","Alabama",2021,794,1122252
"6","Alaska",2017,366,185729
"7","Alaska",2018,353,183189
"8","Alaska",2019,396,180442
"9","Alaska",2020,354,181019
"10","Alaska",2021,339,179356
"11","Arizona",2017,4298,1638725
"12","Arizona",2018,3926,1638657
"13","Arizona",2019,3373,1641727
"14","Arizona",2020,2905,1615693
"15","Arizona",2021,1977,1613988
"16","Arkansas",2017,971,705952
"17","Arkansas",2018,1001,703626
"18","Arkansas",2019,984,701317
"19","Arkansas",2020,777,704793
"20","Arkansas",2021,768,703389
"21","California",2017,6524,9050090
"22","California",2018,6966,8974477
"23","California",2019,6981,8881104
"24","California",2020,5562,8936181
"25","California",2021,6242,8772631
"26","Colorado",2017,948,1264219
"27","Colorado",2018,910,1264226
"28","Colorado",2019,919,1256673
"29","Colorado",2020,832,1260965
"30","Colorado",2021,790,1243456
"31","Connecticut",2017,488,743729
"32","Connecticut",2018,497,736061
"33","Connecticut",2019,661,727280
"34","Connecticut",2020,450,738511
"35","Connecticut",2021,460,729710
"36","Delaware",2017,108,204165
"37","Delaware",2018,116,204154
"38","Delaware",2019,129,204263
"39","Delaware",2020,116,208446
"40","Delaware",2021,88,208294
"41","District of Columbia",2017,91,124821
"42","District of Columbia",2018,100,126703
"43","District of Columbia",2019,98,127952
"44","District of Columbia",2020,98,126860
"45","District of Columbia",2021,110,125835
"46","Florida",2017,3831,4204867
"47","Florida",2018,4455,4226134
"48","Florida",2019,4714,4233967
"49","Florida",2020,4534,4282995
"50","Florida",2021,3938,4289280
"51","Georgia",2017,1401,2513811
"52","Georgia",2018,1469,2509456
"53","Georgia",2019,1668,2505399
"54","Georgia",2020,1585,2534740
"55","Georgia",2021,1395,2524302
"56","Hawaii",2017,152,305360
"57","Hawaii",2018,189,303049
"58","Hawaii",2019,206,299419
"59","Hawaii",2020,206,309553
"60","Hawaii",2021,273,304399
"61","Idaho",2017,258,443043
"62","Idaho",2018,245,445134
"63","Idaho",2019,328,448116
"64","Idaho",2020,353,462389
"65","Idaho",2021,346,469026
"66","Illinois",2017,1777,2897055
"67","Illinois",2018,1754,2857349
"68","Illinois",2019,1747,2817312
"69","Illinois",2020,1522,2859985
"70","Illinois",2021,1602,2803224
"71","Indiana",2017,1964,1573905
"72","Indiana",2018,2016,1572404
"73","Indiana",2019,2489,1569375
"74","Indiana",2020,2149,1594263
"75","Indiana",2021,1844,1587006
"76","Iowa",2017,1006,731975
"77","Iowa",2018,1074,729802
"78","Iowa",2019,1228,728005
"79","Iowa",2020,1266,741640
"80","Iowa",2021,1007,736376
"81","Kansas",2017,674,712412
"82","Kansas",2018,936,706593
"83","Kansas",2019,1227,701453
"84","Kansas",2020,985,711338
"85","Kansas",2021,840,703064
"86","Kentucky",2017,1128,1010963
"87","Kentucky",2018,1124,1008017
"88","Kentucky",2019,1368,1004268
"89","Kentucky",2020,1365,1020754
"90","Kentucky",2021,1212,1015912
"91","Louisiana",2017,766,1107942
"92","Louisiana",2018,905,1098318
"93","Louisiana",2019,895,1089906
"94","Louisiana",2020,749,1096071
"95","Louisiana",2021,602,1082943
"96","Maine",2017,456,252859
"97","Maine",2018,395,250465
"98","Maine",2019,294,249610
"99","Maine",2020,247,254092
"100","Maine",2021,339,251909
"101","Maryland",2017,348,1345241
"102","Maryland",2018,353,1341430
"103","Maryland",2019,291,1338232
"104","Maryland",2020,NA,1376810
"105","Maryland",2021,220,1363304
"106","Massachusetts",2017,657,1374363
"107","Massachusetts",2018,826,1365956
"108","Massachusetts",2019,998,1353615
"109","Massachusetts",2020,762,1385886
"110","Massachusetts",2021,755,1362133
"111","Michigan",2017,1970,2181394
"112","Michigan",2018,1991,2163590
"113","Michigan",2019,2161,2144307
"114","Michigan",2020,1851,2178387
"115","Michigan",2021,1689,2153379
"116","Minnesota",2017,946,1300061
"117","Minnesota",2018,1284,1303090
"118","Minnesota",2019,1347,1303212
"119","Minnesota",2020,1043,1329576
"120","Minnesota",2021,1001,1317567
"121","Mississippi",2017,358,714850
"122","Mississippi",2018,431,707663
"123","Mississippi",2019,719,699984
"124","Mississippi",2020,597,699669
"125","Mississippi",2021,566,692835
"126","Missouri",2017,1541,1383946
"127","Missouri",2018,1798,1379108
"128","Missouri",2019,1820,1374703
"129","Missouri",2020,1652,1390790
"130","Missouri",2021,1419,1384557
"131","Montana",2017,274,229481
"132","Montana",2018,396,229210
"133","Montana",2019,482,228888
"134","Montana",2020,432,234176
"135","Montana",2021,313,235070
"136","Nebraska",2017,546,476177
"137","Nebraska",2018,564,476581
"138","Nebraska",2019,560,476033
"139","Nebraska",2020,433,487195
"140","Nebraska",2021,368,482884
"141","Nevada",2017,740,682282
"142","Nevada",2018,760,688989
"143","Nevada",2019,805,694730
"144","Nevada",2020,796,700974
"145","Nevada",2021,727,698748
"146","New Hampshire",2017,108,260503
"147","New Hampshire",2018,211,258045
"148","New Hampshire",2019,278,255785
"149","New Hampshire",2020,183,258918
"150","New Hampshire",2021,241,256376
"151","New Jersey",2017,1106,1964487
"152","New Jersey",2018,1054,1954045
"153","New Jersey",2019,1162,1943575
"154","New Jersey",2020,788,2047059
"155","New Jersey",2021,639,2023128
"156","New Mexico",2017,311,489049
"157","New Mexico",2018,297,482442
"158","New Mexico",2019,336,477209
"159","New Mexico",2020,281,481889
"160","New Mexico",2021,319,473221
"161","New York",2017,1789,4114612
"162","New York",2018,1697,4074414
"163","New York",2019,1648,4031894
"164","New York",2020,974,4211897
"165","New York",2021,1145,4113323
"166","North Carolina",2017,1528,2302931
"167","North Carolina",2018,1522,2304529
"168","North Carolina",2019,1546,2304554
"169","North Carolina",2020,1521,2305587
"170","North Carolina",2021,1317,2301503
"171","North Dakota",2017,162,176649
"172","North Dakota",2018,172,178524
"173","North Dakota",2019,197,180584
"174","North Dakota",2020,197,187338
"175","North Dakota",2021,229,185701
"176","Ohio",2017,1538,2609137
"177","Ohio",2018,1566,2595584
"178","Ohio",2019,1665,2581403
"179","Ohio",2020,1466,2625734
"180","Ohio",2021,1622,2605629
"181","Oklahoma",2017,2593,959142
"182","Oklahoma",2018,2238,955996
"183","Oklahoma",2019,2086,953923
"184","Oklahoma",2020,1820,961619
"185","Oklahoma",2021,1494,961530
"186","Oregon",2017,707,872913
"187","Oregon",2018,679,868879
"188","Oregon",2019,792,864815
"189","Oregon",2020,877,873064
"190","Oregon",2021,696,861351
"191","Pennsylvania",2017,2077,2665549
"192","Pennsylvania",2018,2628,2653058
"193","Pennsylvania",2019,2849,2635819
"194","Pennsylvania",2020,2087,2700980
"195","Pennsylvania",2021,2214,2674009
"196","Puerto Rico",2017,NA,651536
"197","Puerto Rico",2018,84,591875
"198","Puerto Rico",2019,121,572801
"199","Puerto Rico",2020,87,567614
"200","Puerto Rico",2021,129,545790
"201","Rhode Island",2017,250,206942
"202","Rhode Island",2018,254,206059
"203","Rhode Island",2019,184,203923
"204","Rhode Island",2020,152,212350
"205","Rhode Island",2021,231,208827
"206","South Carolina",2017,487,1104965
"207","South Carolina",2018,435,1108588
"208","South Carolina",2019,529,1113673
"209","South Carolina",2020,551,1114257
"210","South Carolina",2021,459,1117092
"211","South Dakota",2017,181,216108
"212","South Dakota",2018,183,216722
"213","South Dakota",2019,211,217817
"214","South Dakota",2020,209,220094
"215","South Dakota",2021,222,220429
"216","Tennessee",2017,1260,1507817
"217","Tennessee",2018,1248,1510375
"218","Tennessee",2019,1166,1510976
"219","Tennessee",2020,1186,1540917
"220","Tennessee",2021,1224,1540674
"221","Texas",2017,5361,7365787
"222","Texas",2018,5748,7382686
"223","Texas",2019,6105,7406777
"224","Texas",2020,5249,7486091
"225","Texas",2021,4647,7475433
"226","Utah",2017,665,928062
"227","Utah",2018,818,930162
"228","Utah",2019,639,929940
"229","Utah",2020,518,949355
"230","Utah",2021,560,947243
"231","Vermont",2017,287,117146
"232","Vermont",2018,262,115630
"233","Vermont",2019,260,114325
"234","Vermont",2020,263,118351
"235","Vermont",2021,202,116976
"236","Virginia",2017,801,1872961
"237","Virginia",2018,879,1870042
"238","Virginia",2019,769,1868689
"239","Virginia",2020,844,1898856
"240","Virginia",2021,878,1884826
"241","Washington",2017,1345,1651656
"242","Washington",2018,1331,1657823
"243","Washington",2019,1509,1661024
"244","Washington",2020,1425,1693011
"245","Washington",2021,1077,1676122
"246","West Virginia",2017,1070,369641
"247","West Virginia",2018,1410,365119
"248","West Virginia",2019,1699,360439
"249","West Virginia",2020,1683,362716
"250","West Virginia",2021,1856,359031
"251","Wisconsin",2017,692,1283936
"252","Wisconsin",2018,755,1276066
"253","Wisconsin",2019,711,1267935
"254","Wisconsin",2020,748,1289310
"255","Wisconsin",2021,710,1274756
"256","Wyoming",2017,82,136349
"257","Wyoming",2018,75,134683
"258","Wyoming",2019,120,133577
"259","Wyoming",2020,98,133739
"260","Wyoming",2021,105,132424
