"State","Avg_Household_size","Median_Household_income"
"Utah","3.09","$87,649"
"California","2.94","$81,575"
"Hawaii","2.94","$82,199"
"Texas","2.83","$67,404"
"Alaska","2.78","$81,133"
"Georgia","2.68","$61,497"
"Idaho","2.66","$76,918"
"New Jersey","2.66","$88,559"
"Arizona","2.65","$70,821"
"Nevada","2.65","$64,340"
"Maryland","2.64","$97,332"
"Florida","2.62","$59,734"
"Colorado","2.6","$84,954"
"Virginia","2.6","$80,268"
"Louisiana","2.59","$57,206"
"Mississippi","2.59","$46,637"
"New Mexico","2.59","$53,463"
"Oklahoma","2.57","$60,096"
"New York","2.55","$72,920"
"Delaware","2.54","$68,687"
"Illinois","2.54","$79,253"
"Alabama","2.53","$56,929"
"South Carolina","2.53","$62,542"
"Washington","2.53","$87,648"
"North Carolina","2.51","$62,891"
"Tennessee","2.51","$62,166"
"Arkansas","2.5","$50,784"
"Connecticut","2.5","$80,958"
"Indiana","2.5","$70,190"
"Massachusetts","2.5","$86,566"
"Oregon","2.49","$81,855"
"Kansas","2.48","$75,979"
"Kentucky","2.48","$55,629"
"Minnesota","2.48","$80,441"
"Michigan","2.45","$64,488"
"Rhode Island","2.45","$74,982"
"Missouri","2.44","$63,594"
"Nebraska","2.44","$78,109"
"New Hampshire","2.44","$88,841"
"South Dakota","2.43","$73,893"
"Wyoming","2.43","$71,052"
"Pennsylvania","2.42","$72,627"
"Ohio","2.41","$62,689"
"Iowa","2.4","$72,429"
"West Virginia","2.4","$46,836"
"Wisconsin","2.38","$69,943"
"Montana","2.37","$64,999"
"District of Columbia","2.3","$90,640"
"Maine","2.29","$71,139"
"North Dakota","2.29","$68,882"
"Vermont","2.28","$76,079"
